Thickness (m),Zenith θ (°),Julia Flux (m⁻²s⁻¹sr⁻¹),Julia σ (%),C Flux (m⁻²s⁻¹sr⁻¹),C σ (%),Diff (%)
0.0,0.0,68.72763782166555,0.0,70.5738,0.0,-2.6159313772737938
0.0,15.0,64.09939889459261,0.0,64.1805,0.0,-0.12636409097371393
0.0,30.0,51.86594646782737,0.0,50.6915,0.0,2.316850887875429
0.0,45.0,34.2520595959142,0.0,33.9148,0.0,0.9944319173758875
0.0,60.0,16.3618238992575,0.0,16.0109,0.0,2.1917812194036697
0.0,75.0,4.086770142188973,0.0,4.07206,0.0,0.3612457132010208
50.0,0.0,1.469294877505554,2.22106355451165,1.49312,2.224945081440206,-1.59566026136184
50.0,15.0,1.294220929044948,2.2673315355714685,1.40259,2.2095551800597466,-7.726354170146086
50.0,30.0,1.1441744291628633,2.2099924404789526,1.18456,2.2045907341122444,-3.409330961465589
50.0,45.0,0.7613527006375073,2.2032499885099535,0.735439,2.2778367750418456,3.5235690026647095
50.0,60.0,0.3846694091105483,2.2290686596829845,0.396557,2.219211866137781,-2.99770042880385
50.0,75.0,0.11118738220774399,2.1361600355366166,0.112835,2.160473257411264,-1.4602009945992065
100.0,0.0,0.3707893984269535,2.202749337225538,0.358433,2.2337117397114663,3.447338394331303
100.0,15.0,0.3385792347480267,2.20151304578733,0.325019,2.264138404216369,4.172136012979764
100.0,30.0,0.2628644858784027,2.2344984281566784,0.265064,2.2383575287477737,-0.8298049231873439
100.0,45.0,0.17445401058355228,2.2384845971414014,0.178387,2.267799783616519,-2.204751140188303
100.0,60.0,0.09089493459627328,2.1848895614381654,0.0914514,2.243071183163954,-0.6084821049505253
100.0,75.0,0.02278235985250725,2.143819560808432,0.0231635,2.217821141019276,-1.6454341852170409
150.0,0.0,0.13761816186700004,2.2082184595397947,0.135677,2.266316324800814,1.4307228690198428
150.0,15.0,0.1336558241465655,2.1852037059043967,0.126391,2.2796006044734196,5.747896722524139
150.0,30.0,0.10160383642674888,2.2102855227917417,0.101991,2.2895843750919203,-0.37960562525234876
150.0,45.0,0.07054650953535581,2.157905874888052,0.0690579,2.23897627932503,2.1555962972459386
150.0,60.0,0.032605963833606276,2.1855398898248484,0.0336817,2.282693569505102,-3.1938297841074705
150.0,75.0,0.0069808102713271964,2.1738270113399936,0.00717769,2.3390673043834442,-2.742939980311258
200.0,0.0,0.06932059459942094,2.1662376424665832,0.0652918,2.2960769958861604,6.170444986079333
200.0,15.0,0.06257172827809612,2.2005480194518174,0.0632087,2.2647673500641523,-1.007727926541574
200.0,30.0,0.04777946563307625,2.2316118428342917,0.0505921,2.2698603141597204,-5.559433917397676
200.0,45.0,0.03337025167453235,2.145073705059438,0.0320218,2.3263276892616904,4.211042710067351
200.0,60.0,0.01511375594672129,2.1590449969932908,0.0151802,2.317499110683654,-0.4377020940350597
200.0,75.0,0.0027240913003853183,2.1777502236443764,0.00288813,2.400809520347076,-5.67975470684082
250.0,0.0,0.03830874957695894,2.1593487332495944,0.0379187,2.267585650351937,1.02864701838128
250.0,15.0,0.034598000558642344,2.1919532227381935,0.0344638,2.314091887719868,0.38939570982405214
250.0,30.0,0.026238887076170614,2.2213826996061856,0.0278767,2.3038953678161334,-5.8752037501906145
250.0,45.0,0.017893305525067175,2.1450113662404546,0.0174651,2.3366656932969176,2.4517782610301384
250.0,60.0,0.00780686012063903,2.1590729749872133,0.00801981,2.34326000241901,-2.6552983095730545
250.0,75.0,0.001187417230786376,2.1830054020396417,0.00128971,2.4429522916004376,-7.931455072351453
300.0,0.0,0.02309979597513047,2.152312615318465,0.0234102,2.280527291522499,-1.3259349551457495
300.0,15.0,0.02085394912400177,2.1846707366772047,0.021068,2.326395481298652,-1.0159999810054545
300.0,30.0,0.015670179344586865,2.2162829755883386,0.0163668,2.2894273773737073,-4.256303342211889
300.0,45.0,0.010449199656533814,2.1477657823376486,0.0103432,2.3199686750715447,1.0248245855616651
300.0,60.0,0.004372385815162915,2.1600048899043567,0.00443361,2.4077444791039357,-1.380910473340804
300.0,75.0,0.0005547634804935675,2.186060526866693,0.000608454,2.5642858786366753,-8.824088510624067
350.0,0.0,0.014778716544490979,2.1512772717049145,0.0143146,2.3254858675757615,3.242259961794104
350.0,15.0,0.013342222570196037,2.1824118411544706,0.0133907,2.3126796956096394,-0.3620231190599681
350.0,30.0,0.009946344970829265,2.213596535004737,0.0108472,2.3081348182019323,-8.3049545428381
350.0,45.0,0.006481978742487171,2.1504726594640915,0.00655002,2.3332142497274817,-1.0387946527312775
350.0,60.0,0.002589751887000565,2.160618448166958,0.00266595,2.3971792419212665,-2.858197378024152
350.0,75.0,0.0002713406232654373,2.187574489155138,0.000310697,2.5882966362726383,-12.667124798296314
400.0,0.0,0.0098990053238938,2.15103199329734,0.00970195,2.326645674323203,2.0310898725905484
400.0,15.0,0.008930345002889438,2.1818151143227804,0.00889649,2.351893836782821,0.3805433703566012
400.0,30.0,0.006604447860772996,2.2127497699430707,0.00694274,2.38263279339281,-4.872602736484508
400.0,45.0,0.004201420527333427,2.1534295311808616,0.00423099,2.363139596170164,-0.6988783397401713
400.0,60.0,0.0015969378407963803,2.1625344476018693,0.00170798,2.455538121055282,-6.501373505756488
400.0,75.0,0.00013684249340259366,2.1892413886067956,0.00015988,2.8335439079309483,-14.40924855979881
450.0,0.0,0.00686971862730103,2.151690287029762,0.00687934,2.3425212302342953,-0.13985895011687505
450.0,15.0,0.006191413783507607,2.182099348284373,0.00620294,2.385384994857277,-0.18581860363622746
450.0,30.0,0.004539659322343227,2.212468612525369,0.00494955,2.3343132203937733,-8.281372602696656
450.0,45.0,0.0028174918551988307,2.155282265884445,0.0029368,2.3702056660310546,-4.062521955910146
450.0,60.0,0.001016513719656751,2.1638227016387397,0.00107161,2.5066955328897644,-5.1414488800262195
450.0,75.0,7.060381345113424e-5,2.19315513194267,8.31103e-5,2.8592605248687586,-15.048058482361107
500.0,0.0,0.004903175281377712,2.15241371706383,0.00499796,2.362043713835245,-1.8964681314433902
500.0,15.0,0.0044130186383198764,2.1827083110901784,0.00448185,2.3811149413746557,-1.5357801282979897
500.0,30.0,0.0032059774678830527,2.2127229661391894,0.00350598,2.374502992030759,-8.556880875445593
500.0,45.0,0.0019393458169528824,2.1568371904976993,0.00193204,2.431409287592389,0.3781400464215172
500.0,60.0,0.0006621716391904859,2.165153100538021,0.000717586,2.5139843865404288,-7.7223302586051075
500.0,75.0,3.705208517908915e-5,2.201655924572767,4.81525e-5,2.9979751830123047,-23.052624102405588
550.0,0.0,0.0035788193966798175,2.1537172149739674,0.00360269,2.4080256697079125,-0.6625772220252782
550.0,15.0,0.0032155326672345616,2.183933103990125,0.00330991,2.3921798477904233,-2.8513564648415985
550.0,30.0,0.0023142948954843474,2.2125668634664954,0.00248068,2.4004023090442943,-6.707237713677397
550.0,45.0,0.0013633162614792894,2.15922075372964,0.00140417,2.4214803050912637,-2.909458151129172
550.0,60.0,0.000439726555573973,2.1660018939122927,0.000471602,2.599098392288413,-6.758971426335557
550.0,75.0,1.9684216190911635e-5,2.218498187135948,2.83389e-5,3.0241681928374073,-30.539942655107872
600.0,0.0,0.0026613454022669796,2.154592138810928,0.00266649,2.4081470397413827,-0.1929351969450674
600.0,15.0,0.0023868339569249144,2.1845544090169216,0.00237525,2.440189453741711,0.48769421849970374
600.0,30.0,0.0017003666178382118,2.2120474649985193,0.00189193,2.3874244818782935,-10.12528910487112
600.0,45.0,0.000975390582004243,2.1615174884707873,0.00104092,2.469709487760827,-6.2953366248853975
600.0,60.0,0.0002962901950403186,2.167200436852726,0.000318108,2.5886774303066886,-6.858615614722489
600.0,75.0,1.0552072898556574e-5,2.2526069941464026,1.61613e-5,3.126419285577274,-34.70777166096431
650.0,0.0,0.002010125325505124,2.1552926589303247,0.00212367,2.390117108590318,-5.346625158093108
650.0,15.0,0.001798971452884815,2.184670663302296,0.00188094,2.398742118302551,-4.357850176783148
650.0,30.0,0.0012677736936672736,2.2127653247513055,0.00140011,2.449328981294327,-9.451850664071134
650.0,45.0,0.0007083761788883144,2.1624410995656955,0.000751317,2.522330787137786,-5.7154065609703615
650.0,60.0,0.0002021349592671001,2.1679026128954035,0.000230224,2.6305554590312044,-12.200743941943456
650.0,75.0,5.702242031035569e-6,2.31802142780407,8.86828e-6,3.3790881659126684,-35.70069922199604
700.0,0.0,0.0015379810390969738,2.155683783782372,0.00159384,2.4109132660743864,-3.504678066997076
