tower_id,column_id,column_name,level_id,module_id,counter_in_module,counter_id,x_center_m,y_center_m,z_center_m,x_lo_m,x_hi_m,y_lo_m,y_hi_m,z_lo_m,z_hi_m
1,2,C2,1,8,2,58,3.1408,5.418,0.752,2.8782,3.4033,4.644,6.192,0.0,1.504
1,2,C2,1,8,3,59,3.4033,3.87,0.752,3.1408,3.6658,3.096,4.644,0.0,1.504
1,2,C2,1,8,4,60,3.1408,3.87,0.752,2.8782,3.4033,3.096,4.644,0.0,1.504
1,2,C2,1,8,5,61,3.4033,2.322,0.752,3.1408,3.6658,1.548,3.096,0.0,1.504
1,2,C2,1,8,6,62,3.1408,2.322,0.752,2.8782,3.4033,1.548,3.096,0.0,1.504
1,2,C2,1,8,7,63,3.1408,0.774,0.752,2.8782,3.4033,0.0,1.548,0.0,1.504
1,2,C2,1,8,8,64,3.4033,0.774,0.752,3.1408,3.6658,0.0,1.548,0.0,1.504
1,2,C2,2,9,1,65,3.4033,5.418,2.256,3.1408,3.6658,4.644,6.192,1.504,3.008
1,2,C2,2,9,2,66,3.1408,5.418,2.256,2.8782,3.4033,4.644,6.192,1.504,3.008
1,2,C2,2,9,3,67,3.4033,3.87,2.256,3.1408,3.6658,3.096,4.644,1.504,3.008
1,2,C2,2,9,4,68,3.1408,3.87,2.256,2.8782,3.4033,3.096,4.644,1.504,3.008
1,2,C2,2,9,5,69,3.4033,2.322,2.256,3.1408,3.6658,1.548,3.096,1.504,3.008
1,2,C2,2,9,6,70,3.1408,2.322,2.256,2.8782,3.4033,1.548,3.096,1.504,3.008
1,2,C2,2,9,7,71,3.1408,0.774,2.256,2.8782,3.4033,0.0,1.548,1.504,3.008
1,2,C2,2,9,8,72,3.4033,0.774,2.256,3.1408,3.6658,0.0,1.548,1.504,3.008
1,2,C2,3,10,1,73,3.4033,5.418,3.76,3.1408,3.6658,4.644,6.192,3.008,4.512
1,2,C2,3,10,2,74,3.1408,5.418,3.76,2.8782,3.4033,4.644,6.192,3.008,4.512
1,2,C2,3,10,3,75,3.4033,3.87,3.76,3.1408,3.6658,3.096,4.644,3.008,4.512
1,2,C2,3,10,4,76,3.1408,3.87,3.76,2.8782,3.4033,3.096,4.644,3.008,4.512
1,2,C2,3,10,5,77,3.4033,2.322,3.76,3.1408,3.6658,1.548,3.096,3.008,4.512
1,2,C2,3,10,6,78,3.1408,2.322,3.76,2.8782,3.4033,1.548,3.096,3.008,4.512
1,2,C2,3,10,7,79,3.1408,0.774,3.76,2.8782,3.4033,0.0,1.548,3.008,4.512
1,2,C2,3,10,8,80,3.4033,0.774,3.76,3.1408,3.6658,0.0,1.548,3.008,4.512
1,2,C2,4,11,1,81,3.4033,5.418,5.264,3.1408,3.6658,4.644,6.192,4.512,6.016
1,2,C2,4,11,2,82,3.1408,5.418,5.264,2.8782,3.4033,4.644,6.192,4.512,6.016
1,2,C2,4,11,3,83,3.4033,3.87,5.264,3.1408,3.6658,3.096,4.644,4.512,6.016
1,2,C2,4,11,4,84,3.1408,3.87,5.264,2.8782,3.4033,3.096,4.644,4.512,6.016
1,2,C2,4,11,5,85,3.4033,2.322,5.264,3.1408,3.6658,1.548,3.096,4.512,6.016
1,2,C2,4,11,6,86,3.1408,2.322,5.264,2.8782,3.4033,1.548,3.096,4.512,6.016
1,2,C2,4,11,7,87,3.1408,0.774,5.264,2.8782,3.4033,0.0,1.548,4.512,6.016
