bin_index,azimuth_lo_deg,azimuth_hi_deg,azimuth_center_deg,zenith_lo_deg,zenith_hi_deg,zenith_center_deg,slant_rock_m,intensity_raw,solid_angle_sr,fig7_lvd_azimuth_center_deg
56,0.0,12.0,6.0,16.0,20.0,18.0,3086.0,1169.0,0.004517416536235925,37.0
57,12.0,24.0,18.0,16.0,20.0,18.0,3111.0,1208.0,0.004517416536235925,25.0
58,24.0,36.0,30.0,16.0,20.0,18.0,3140.0,1209.0,0.004517416536235925,13.0
59,36.0,48.0,42.0,16.0,20.0,18.0,3187.0,1205.0,0.004517416536235925,1.0
60,48.0,60.0,54.0,16.0,20.0,18.0,3265.0,943.0,0.004517416536235925,349.0
61,60.0,72.0,66.0,16.0,20.0,18.0,3349.0,836.0,0.004517416536235925,337.0
62,72.0,84.0,78.0,16.0,20.0,18.0,3484.0,628.0,0.004517416536235925,325.0
63,84.0,96.0,90.0,16.0,20.0,18.0,3655.0,462.0,0.004517416536235925,313.0
64,96.0,108.0,102.0,16.0,20.0,18.0,3852.0,346.0,0.004517416536235925,301.0
65,108.0,120.0,114.0,16.0,20.0,18.0,4038.0,296.0,0.004517416536235925,289.0
66,120.0,132.0,126.0,16.0,20.0,18.0,4133.0,238.0,0.004517416536235925,277.0
67,132.0,144.0,138.0,16.0,20.0,18.0,4020.0,272.0,0.004517416536235925,265.0
68,144.0,156.0,150.0,16.0,20.0,18.0,3880.0,392.0,0.004517416536235925,253.0
69,156.0,168.0,162.0,16.0,20.0,18.0,3778.0,420.0,0.004517416536235925,241.0
70,168.0,180.0,174.0,16.0,20.0,18.0,3650.0,501.0,0.004517416536235925,229.0
71,180.0,192.0,186.0,16.0,20.0,18.0,3567.0,619.0,0.004517416536235925,217.0
72,192.0,204.0,198.0,16.0,20.0,18.0,3550.0,752.0,0.004517416536235925,205.0
73,204.0,216.0,210.0,16.0,20.0,18.0,3642.0,714.0,0.004517416536235925,193.0
74,216.0,228.0,222.0,16.0,20.0,18.0,3815.0,528.0,0.004517416536235925,181.0
75,228.0,240.0,234.0,16.0,20.0,18.0,3832.0,498.0,0.004517416536235925,169.0
76,240.0,252.0,246.0,16.0,20.0,18.0,3816.0,496.0,0.004517416536235925,157.0
77,252.0,264.0,258.0,16.0,20.0,18.0,3805.0,420.0,0.004517416536235925,145.0
78,264.0,276.0,270.0,16.0,20.0,18.0,3643.0,531.0,0.004517416536235925,133.0
79,276.0,288.0,282.0,16.0,20.0,18.0,3505.0,623.0,0.004517416536235925,121.0
80,288.0,300.0,294.0,16.0,20.0,18.0,3373.0,701.0,0.004517416536235925,109.0
81,300.0,312.0,306.0,16.0,20.0,18.0,3248.0,769.0,0.004517416536235925,97.0
82,312.0,324.0,318.0,16.0,20.0,18.0,3177.0,848.0,0.004517416536235925,85.0
83,324.0,336.0,330.0,16.0,20.0,18.0,3143.0,928.0,0.004517416536235925,73.0
84,336.0,348.0,342.0,16.0,20.0,18.0,3114.0,1029.0,0.004517416536235925,61.0
85,348.0,360.0,354.0,16.0,20.0,18.0,3109.0,1081.0,0.004517416536235925,49.0
86,0.0,10.0,5.0,20.0,24.0,22.0,3048.0,1202.0,0.004563540869068268,38.0
87,10.0,20.0,15.0,20.0,24.0,22.0,3067.0,1278.0,0.004563540869068268,28.0
88,20.0,30.0,25.0,20.0,24.0,22.0,3101.0,1296.0,0.004563540869068268,18.0
89,30.0,40.0,35.0,20.0,24.0,22.0,3144.0,1275.0,0.004563540869068268,8.0
90,40.0,50.0,45.0,20.0,24.0,22.0,3203.0,1128.0,0.004563540869068268,358.0
91,50.0,60.0,55.0,20.0,24.0,22.0,3271.0,961.0,0.004563540869068268,348.0
92,60.0,70.0,65.0,20.0,24.0,22.0,3352.0,839.0,0.004563540869068268,338.0
93,70.0,80.0,75.0,20.0,24.0,22.0,3478.0,638.0,0.004563540869068268,328.0
94,80.0,90.0,85.0,20.0,24.0,22.0,3603.0,499.0,0.004563540869068268,318.0
95,90.0,100.0,95.0,20.0,24.0,22.0,3743.0,371.0,0.004563540869068268,308.0
96,100.0,110.0,105.0,20.0,24.0,22.0,3907.0,320.0,0.004563540869068268,298.0
97,110.0,120.0,115.0,20.0,24.0,22.0,4105.0,222.0,0.004563540869068268,288.0
98,120.0,130.0,125.0,20.0,24.0,22.0,4282.0,210.0,0.004563540869068268,278.0
99,130.0,140.0,135.0,20.0,24.0,22.0,4225.0,178.0,0.004563540869068268,268.0
100,140.0,150.0,145.0,20.0,24.0,22.0,4033.0,298.0,0.004563540869068268,258.0
101,150.0,160.0,155.0,20.0,24.0,22.0,3880.0,377.0,0.004563540869068268,248.0
102,160.0,170.0,165.0,20.0,24.0,22.0,3807.0,438.0,0.004563540869068268,238.0
103,170.0,180.0,175.0,20.0,24.0,22.0,3641.0,586.0,0.004563540869068268,228.0
104,180.0,190.0,185.0,20.0,24.0,22.0,3540.0,730.0,0.004563540869068268,218.0
105,190.0,200.0,195.0,20.0,24.0,22.0,3485.0,772.0,0.004563540869068268,208.0
106,200.0,210.0,205.0,20.0,24.0,22.0,3554.0,795.0,0.004563540869068268,198.0
107,210.0,220.0,215.0,20.0,24.0,22.0,3698.0,679.0,0.004563540869068268,188.0
108,220.0,230.0,225.0,20.0,24.0,22.0,3850.0,516.0,0.004563540869068268,178.0
109,230.0,240.0,235.0,20.0,24.0,22.0,3813.0,553.0,0.004563540869068268,168.0
110,240.0,250.0,245.0,20.0,24.0,22.0,3762.0,511.0,0.004563540869068268,158.0
111,250.0,260.0,255.0,20.0,24.0,22.0,3819.0,485.0,0.004563540869068268,148.0
112,260.0,270.0,265.0,20.0,24.0,22.0,3745.0,468.0,0.004563540869068268,138.0
113,270.0,280.0,275.0,20.0,24.0,22.0,3628.0,546.0,0.004563540869068268,128.0
114,280.0,290.0,285.0,20.0,24.0,22.0,3490.0,616.0,0.004563540869068268,118.0
115,290.0,300.0,295.0,20.0,24.0,22.0,3346.0,749.0,0.004563540869068268,108.0
116,300.0,310.0,305.0,20.0,24.0,22.0,3250.0,777.0,0.004563540869068268,98.0
117,310.0,320.0,315.0,20.0,24.0,22.0,3150.0,865.0,0.004563540869068268,88.0
118,320.0,330.0,325.0,20.0,24.0,22.0,3092.0,991.0,0.004563540869068268,78.0
119,330.0,340.0,335.0,20.0,24.0,22.0,3087.0,1037.0,0.004563540869068268,68.0
120,340.0,350.0,345.0,20.0,24.0,22.0,3062.0,1165.0,0.004563540869068268,58.0
121,350.0,360.0,355.0,20.0,24.0,22.0,3046.0,1174.0,0.004563540869068268,48.0
122,0.0,8.6,4.3,24.0,28.0,26.0,3057.0,1233.0,0.004592687967174132,38.7
123,8.6,17.1,12.850000000000001,24.0,28.0,26.0,3084.0,1176.0,0.004539284618718621,30.15
124,17.1,25.7,21.4,24.0,28.0,26.0,3119.0,1242.0,0.004592687967174131,21.6
125,25.7,34.3,30.0,24.0,28.0,26.0,3155.0,1141.0,0.004592687967174131,13.0
126,34.3,42.9,38.599999999999994,24.0,28.0,26.0,3198.0,1144.0,0.004592687967174133,4.400000000000006
127,42.9,51.4,47.15,24.0,28.0,26.0,3254.0,1067.0,0.00453928461871862,355.85
128,51.4,60.0,55.7,24.0,28.0,26.0,3333.0,835.0,0.004592687967174133,347.3
129,60.0,68.6,64.3,24.0,28.0,26.0,3405.0,750.0,0.00459268796717413,338.7
130,68.6,77.1,72.85,24.0,28.0,26.0,3492.0,676.0,0.00453928461871862,330.15
131,77.1,85.7,81.4,24.0,28.0,26.0,3590.0,580.0,0.0045926879671741375,321.6
132,85.7,94.3,90.0,24.0,28.0,26.0,3724.0,454.0,0.00459268796717413,313.0
133,94.3,102.9,98.6,24.0,28.0,26.0,3896.0,357.0,0.0045926879671741375,304.4
134,102.9,111.4,107.15,24.0,28.0,26.0,4091.0,256.0,0.00453928461871862,295.85
135,111.4,120.0,115.7,24.0,28.0,26.0,4262.0,242.0,0.00459268796717413,287.3
136,120.0,128.6,124.3,24.0,28.0,26.0,4449.0,150.0,0.00459268796717413,278.7
137,128.6,137.1,132.85,24.0,28.0,26.0,4494.0,149.0,0.00453928461871862,270.15
138,137.1,145.7,141.39999999999998,24.0,28.0,26.0,4250.0,225.0,0.00459268796717413,261.6
139,145.7,154.3,150.0,24.0,28.0,26.0,4099.0,294.0,0.004592687967174144,253.0
140,154.3,162.9,158.60000000000002,24.0,28.0,26.0,3913.0,371.0,0.00459268796717413,244.39999999999998
141,162.9,171.4,167.15,24.0,28.0,26.0,3716.0,505.0,0.00453928461871862,235.85
142,171.4,180.0,175.7,24.0,28.0,26.0,3537.0,636.0,0.00459268796717413,227.3
143,180.0,188.6,184.3,24.0,28.0,26.0,3460.0,806.0,0.00459268796717413,218.7
144,188.6,197.1,192.85,24.0,28.0,26.0,3423.0,856.0,0.00453928461871862,210.15
145,197.1,205.7,201.39999999999998,24.0,28.0,26.0,3498.0,777.0,0.00459268796717413,201.60000000000002
146,205.7,214.3,210.0,24.0,28.0,26.0,3624.0,642.0,0.004592687967174144,193.0
147,214.3,222.9,218.60000000000002,24.0,28.0,26.0,3737.0,636.0,0.00459268796717413,184.39999999999998
148,222.9,231.4,227.15,24.0,28.0,26.0,3793.0,533.0,0.00453928461871862,175.85
149,231.4,240.0,235.7,24.0,28.0,26.0,3764.0,525.0,0.00459268796717413,167.3
150,240.0,248.6,244.3,24.0,28.0,26.0,3726.0,517.0,0.00459268796717413,158.7
151,248.6,257.1,252.85000000000002,24.0,28.0,26.0,3731.0,445.0,0.004539284618718634,150.14999999999998
152,257.1,265.7,261.4,24.0,28.0,26.0,3766.0,421.0,0.004592687967174114,141.60000000000002
153,265.7,274.3,270.0,24.0,28.0,26.0,3675.0,509.0,0.004592687967174144,133.0
154,274.3,282.9,278.6,24.0,28.0,26.0,3595.0,576.0,0.004592687967174114,124.39999999999998
155,282.9,291.4,287.15,24.0,28.0,26.0,3479.0,629.0,0.00453928461871862,115.85000000000002
156,291.4,300.0,295.7,24.0,28.0,26.0,3344.0,691.0,0.004592687967174144,107.30000000000001
157,300.0,308.6,304.3,24.0,28.0,26.0,3236.0,781.0,0.004592687967174144,98.69999999999999
158,308.6,317.1,312.85,24.0,28.0,26.0,3166.0,833.0,0.00453928461871862,90.14999999999998
159,317.1,325.7,321.4,24.0,28.0,26.0,3099.0,1012.0,0.004592687967174114,81.60000000000002
160,325.7,334.3,330.0,24.0,28.0,26.0,3064.0,1073.0,0.004592687967174144,73.0
161,334.3,342.9,338.6,24.0,28.0,26.0,3050.0,1075.0,0.004592687967174114,64.39999999999998
162,342.9,351.4,347.15,24.0,28.0,26.0,3038.0,1209.0,0.00453928461871862,55.85000000000002
163,351.4,360.0,355.7,24.0,28.0,26.0,3039.0,1206.0,0.004592687967174144,47.30000000000001
164,0.0,7.7,3.85,28.0,32.0,30.0,3104.0,1209.0,0.004690155660556111,39.15
165,7.7,15.3,11.5,28.0,32.0,30.0,3131.0,1240.0,0.0046292445480813574,31.5
166,15.3,23.0,19.15,28.0,32.0,30.0,3160.0,1095.0,0.004690155660556111,23.85
167,23.0,30.6,26.8,28.0,32.0,30.0,3201.0,1139.0,0.0046292445480813574,16.2
168,30.6,38.3,34.45,28.0,32.0,30.0,3243.0,1106.0,0.0046901556605561095,8.549999999999997
169,38.3,46.0,42.15,28.0,32.0,30.0,3283.0,1082.0,0.004690155660556113,0.8500000000000014
170,46.0,53.6,49.8,28.0,32.0,30.0,3335.0,898.0,0.0046292445480813574,353.2
171,53.6,61.3,57.45,28.0,32.0,30.0,3435.0,706.0,0.0046901556605561095,345.55
